p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
8.84139354641575e-126	0.912539513605388	1.90677054538578	1	0.829	1.78737611934341e-121
1.42843033384605e-75	0.8100710053532	2.58915931472022	0.8	0.4	2.88771476290318e-71
1.28215120662939e-66	0.768535256461169	4.28108720176541	0.635	0.14	2.59199687932197e-62
4.12879001413471e-57	0.30147252712341	-2.59573478673863	0.049	0.439	8.34676189257473e-53
4.19391062613383e-54	0.248356710561848	-2.2244373678332	0.353	0.72	8.47840972179214e-50
4.5003841394004e-53	0.70849522659762	4.21894160366239	0.448	0.039	9.09797657621185e-49
5.97572101731163e-50	0.735744126570616	2.86812157153425	0.619	0.243	1.20805176085972e-45
4.34776339509218e-48	0.741449970612997	2.00804215038427	0.721	0.351	8.78943847951835e-44
2.60160581264992e-47	0.276533286737725	-2.05771036413173	0.254	0.637	5.25940631085308e-43
3.84198964808948e-47	0.297232856257843	-2.19847253332113	0.145	0.515	7.76696627257769e-43
5.48732455753997e-46	0.688812288532715	3.17725403207654	0.411	0.045	1.10931753255228e-41
1.16813300180041e-44	0.259403046717392	-1.07227497762097	0.727	0.94	2.36149767643971e-40
1.46562094917241e-42	0.673961526853367	3.96242342531264	0.373	0.033	2.96289931084695e-38
7.48258806766183e-42	0.718099216876082	2.25173652522117	0.647	0.278	1.51268000375852e-37
1.0807997729196e-41	0.671070481152606	3.49605308105495	0.368	0.031	2.18494482093426e-37
8.12108660678004e-41	0.336992677076549	-2.16270293691517	0.066	0.388	1.64175886842665e-36
3.14022819678447e-37	0.331599764903976	-1.93266608863997	0.109	0.443	6.34828532261949e-33
3.28177082318467e-37	0.32464854732896	-1.8105389020644	0.136	0.48	6.63442789615013e-33
7.64478981776903e-36	0.330176480866678	-1.76976389737451	0.136	0.46	1.54547070956019e-31
1.06307840448556e-35	0.702980000953092	1.92923073278022	0.641	0.336	2.149119302508e-31
2.45384692038214e-35	0.295877877146443	-1.10793478469343	0.401	0.753	4.96069693424453e-31
3.05223204635846e-35	0.363202706781249	-2.38000021048464	0.045	0.313	6.17039230491826e-31
7.25586931590382e-35	0.294036821120518	-1.16358029489998	0.502	0.792	1.46684654090312e-30
8.35943203276222e-35	0.642438009308532	2.50849662868639	0.3	0.016	1.68994277974321e-30
1.25401678709979e-34	0.699135863263069	1.58229968921747	0.644	0.326	2.53512033680093e-30
3.09112076940803e-34	0.309243403809191	-1.49497747162912	0.305	0.623	6.24900974743527e-30
4.36676667308369e-34	0.687155496958048	1.34474350599621	0.564	0.196	8.82785550630598e-30
5.8905765509786e-34	0.341411846933427	-2.56232254054712	0.116	0.416	1.19083895554583e-29
1.07007365356678e-33	0.703057836798882	1.64537475166088	0.7	0.495	2.16326089805061e-29
1.12596294513796e-32	0.687247629183677	1.95759749041071	0.576	0.266	2.2762466898909e-28
1.61734426864333e-32	0.64479055803536	2.76913308712891	0.327	0.039	3.26962317348936e-28
2.43972697991746e-32	0.343542007529427	-1.82671447003705	0.128	0.421	4.93215206260113e-28
3.32448456778552e-32	0.658834368497133	1.8201945238674	0.399	0.091	6.72077800223521e-28
4.39546846725673e-32	0.34804377869204	-1.59923519643103	0.108	0.408	8.88587905340621e-28
4.97440946537591e-32	0.660005083157276	1.96711873701901	0.405	0.099	1.00562661752039e-27
2.69585978784002e-31	0.361591981319397	-1.80129219685133	0.077	0.346	5.44995014709739e-27
2.88922563012834e-31	0.694300509904214	1.38644789514953	0.716	0.454	5.84085853386744e-27
7.53600959638618e-31	0.315344781027115	-1.09716244224573	0.333	0.674	1.52347970000543e-26
2.88598745017046e-30	0.366722793194923	-1.86475502608081	0.071	0.332	5.83431222926461e-26
1.54633894487356e-29	0.677893031309072	1.36272001569028	0.59	0.272	3.1260788109564e-25
1.73624991878688e-29	0.353115816561562	-1.50837724925338	0.119	0.41	3.51000283581957e-25
2.21994344957418e-29	0.693172684383588	0.925210329499241	0.847	0.652	4.48783767765916e-25
3.48202129626526e-29	0.355900433656855	-1.73028120659182	0.116	0.394	7.03925425252984e-25
3.78949239394458e-29	0.325498387686051	-1.18436587167569	0.291	0.614	7.66083782359836e-25
1.5230647564219e-28	0.368414531475863	-1.66691398318606	0.082	0.338	3.07902771158251e-24
1.67229882886961e-28	0.672093466554414	1.42916317092783	0.555	0.254	3.3807193124428e-24
4.43810654106186e-28	0.350609184629803	-1.44962984825458	0.148	0.443	8.97207618341065e-24
3.22801182132753e-27	0.673448445665814	1.83363735103938	0.593	0.338	6.52574869799573e-23
3.86004089677834e-27	0.324573888456468	-0.842485741361711	0.373	0.705	7.80345867692709e-23
4.7394162221766e-27	0.337375502358903	-1.47455386964753	0.262	0.548	9.58120383475221e-23
6.01117861210767e-27	0.680091496830969	1.22390444226692	0.723	0.482	1.21521986822369e-22
1.11278972633442e-26	0.337388210252093	-1.52185932069927	0.277	0.548	2.24961571075766e-22
1.58566906792461e-26	0.337866344733373	-1.16525500360984	0.26	0.571	3.20558858771639e-22
2.1354831959678e-26	0.622359538068083	2.69501698597816	0.279	0.039	4.31709282896851e-22
4.06088981563012e-26	0.641094149603673	1.95351389777155	0.374	0.107	8.20949485127786e-22
1.59681900170714e-25	0.326697695105873	-0.933200950764549	0.45	0.751	3.22812929385116e-21
1.8492679392019e-25	0.679786507394405	0.914011777398425	0.934	0.821	3.73848006589056e-21
2.48982186768997e-25	0.665447238415961	1.34070644136108	0.586	0.313	5.03342388772205e-21
2.51444510498119e-25	0.625026607151367	1.7034602175556	0.304	0.056	5.08320222422998e-21
4.60375504230597e-25	0.391093355360348	-1.60409187290643	0.051	0.266	9.30695119352574e-21
6.17458780933625e-25	0.352259622257875	-1.36635694826951	0.202	0.482	1.24825467153542e-20
6.96114612684883e-25	0.337890172033104	-1.23028735968555	0.333	0.61	1.40726530100376e-20
7.06759051635701e-25	0.351867266055629	-1.15324022534804	0.199	0.493	1.42878409878673e-20
2.59297443027292e-24	0.346166187473194	-1.1281080802305	0.256	0.553	5.24195710823974e-20
2.84563327464047e-24	0.357619176210824	-1.38540889797545	0.188	0.452	5.75273222801318e-20
3.17190250264586e-24	0.631799914221721	1.55055507007286	0.353	0.093	6.41231809934886e-20
3.49903614916234e-24	0.630899242291869	1.91706532384974	0.347	0.091	7.07365147914658e-20
